TPR,FPR,FDR
0.9,0.001661631,0.47826087
0.85,0.001762336,0.507246377
0.9,0.001863041,0.506849315
0.9,0.002416918,0.571428571
0.95,0.001661631,0.464788732
0.925,0.002618328,0.584269663
0.95,0.002467271,0.563218391
0.95,0.002114804,0.525
0.925,0.002215509,0.543209877
0.825,0.002114804,0.56
0.9,0.001762336,0.492957746
0.875,0.002215509,0.556962025
0.925,0.001560926,0.455882353
0.9,0.001359517,0.428571429
0.95,0.001409869,0.424242424
0.95,0.001611279,0.457142857
0.925,0.001963746,0.513157895
0.95,0.002165156,0.530864198
0.95,0.002064451,0.518987342
0.975,0.001560926,0.442857143
0.925,0.001812689,0.493150685
0.9,0.001762336,0.492957746
0.975,0.002014099,0.506329114
0.85,0.001963746,0.534246575
0.975,0.001510574,0.434782609
0.95,0.001913394,0.5
0.85,0.002517623,0.595238095
0.925,0.002114804,0.53164557
0.975,0.001409869,0.417910448
0.9,0.002215509,0.55
0.975,0.002064451,0.5125
1,0.001762336,0.466666667
1,0.001863041,0.480519481
0.925,0.001963746,0.513157895
1,0.002416918,0.545454545
1,0.001661631,0.452054795
0.975,0.002114804,0.518518519
0.925,0.001711984,0.478873239
0.925,0.001711984,0.478873239
0.875,0.001762336,0.5
0.9,0.001963746,0.52
0.95,0.001863041,0.493333333
0.975,0.001963746,0.5
0.925,0.002165156,0.5375
0.9,0.001913394,0.513513514
0.875,0.002316213,0.567901235
0.925,0.001762336,0.486111111
0.925,0.001812689,0.493150685
0.95,0.001812689,0.486486486
0.9,0.001913394,0.513513514
0.9,0.001812689,0.5
0.925,0.001913394,0.506666667
0.9,0.002567976,0.586206897
0.875,0.001711984,0.492753623
0.825,0.002517623,0.602409639
0.85,0.001913394,0.527777778
0.85,0.001812689,0.514285714
0.95,0.001762336,0.479452055
0.95,0.001258812,0.396825397
0.825,0.002215509,0.571428571
0.9,0.002215509,0.55
0.875,0.001913394,0.520547945
0.775,0.002618328,0.626506024
0.825,0.001711984,0.507462687
0.85,0.001661631,0.492537313
0.8,0.002215509,0.578947368
0.725,0.001863041,0.560606061
0.95,0.001963746,0.506493506
0.825,0.002618328,0.611764706
0.85,0.002165156,0.558441558
0.775,0.002467271,0.6125
0.825,0.001812689,0.52173913
0.85,0.002618328,0.604651163
0.825,0.002769386,0.625
0.85,0.001560926,0.476923077
0.8,0.003071501,0.655913978
0.85,0.002014099,0.540540541
0.85,0.002114804,0.552631579
0.9,0.002517623,0.581395349
0.8,0.002618328,0.619047619
0.825,0.001611279,0.492307692
1,0.002114804,0.512195122
0.9,0.002265861,0.555555556
0.875,0.002114804,0.545454545
0.825,0.002215509,0.571428571
0.8,0.002215509,0.578947368
0.75,0.002769386,0.647058824
0.825,0.002316213,0.582278481
0.825,0.001661631,0.5
0.85,0.002970796,0.634408602
0.9,0.002517623,0.581395349
0.875,0.001762336,0.5
0.775,0.001510574,0.491803279
0.875,0.002618328,0.597701149
0.85,0.001711984,0.5
0.85,0.002416918,0.585365854
0.875,0.002215509,0.556962025
0.8,0.002920443,0.644444444
0.85,0.002014099,0.540540541
0.75,0.002265861,0.6
0.85,0.001611279,0.484848485
0.75,0.002114804,0.583333333
0.85,0.001863041,0.521126761
0.7,0.002064451,0.594202899
0.8,0.002014099,0.555555556
0.9,0.002014099,0.526315789
0.875,0.002517623,0.588235294
0.875,0.002467271,0.583333333
0.9,0.001812689,0.5
0.65,0.002265861,0.633802817
0.825,0.002769386,0.625
0.85,0.002064451,0.546666667
0.75,0.001762336,0.538461538
0.925,0.002366566,0.55952381
0.825,0.001661631,0.5
0.9,0.002416918,0.571428571
0.8,0.002719033,0.627906977
0.925,0.002618328,0.584269663
0.9,0.002014099,0.526315789
0.9,0.001460222,0.446153846
0.7,0.001409869,0.5
0.775,0.002215509,0.586666667
0.85,0.002114804,0.552631579
0.7,0.002114804,0.6
0.9,0.002618328,0.590909091
0.875,0.001913394,0.520547945
0.675,0.002870091,0.678571429
0.85,0.002567976,0.6
0.775,0.002064451,0.569444444
0.8,0.002769386,0.632183908
0.825,0.002064451,0.554054054
0.9,0.001711984,0.485714286
0.825,0.002215509,0.571428571
0.75,0.002114804,0.583333333
0.825,0.001913394,0.535211268
0.85,0.001258812,0.423728814
0.825,0.002517623,0.602409639
0.8,0.001611279,0.5
0.8,0.001661631,0.507692308
0.8,0.001661631,0.507692308
0.85,0.001560926,0.476923077
0.85,0.002517623,0.595238095
0.9,0.002215509,0.55
0.825,0.002819738,0.629213483
0.7,0.001359517,0.490909091
0.775,0.003323263,0.680412371
0.825,0.002567976,0.607142857
0.9,0.002014099,0.526315789
0.975,0.001711984,0.465753425
0.775,0.001863041,0.544117647
0.775,0.001863041,0.544117647
0.775,0.002416918,0.607594937
0.875,0.002970796,0.627659574
0.875,0.001510574,0.461538462
0.99,0.002398716,0.751256281
,,
0.98,0.002575211,0.766109785
,,
1,0.002551143,0.76076555
,,
1,0.002133975,0.726775956
0.99,0.002254312,0.739473684
,,
,,
0.99,0.002254312,0.739473684
0.98,0.002374649,0.751269036
1,0.002270357,0.738903394
,,
,,
0.99,0.002406739,0.751879699
,,
1,0.002318492,0.742930591
1,0.002294424,0.740932642
1,0.002045728,0.718309859
1,0.002422784,0.751243781
,,
0.98,0.002326514,0.74742268
1,0.002366627,0.746835443
0.98,0.002342559,0.748717949
1,0.002430806,0.751861042
0.97,0.002158043,0.734972678
0.99,0.002198155,0.73458445
,,
0.99,0.002238267,0.738095238
0.98,0.002623345,0.769411765
0.99,0.002374649,0.749367089
,,
0.99,0.002414761,0.7525
0.99,0.002174087,0.732432432
,,
0.99,0.002342559,0.746803069
1,0.002238267,0.736147757
0.99,0.00224629,0.73878628
,,
,,
0.99,0.002125953,0.728021978
0.99,0.002262335,0.74015748
,,
1,0.002519053,0.758454106
1,0.002503008,0.757281553
